sequenceId,ParameterKey,ParameterValue
2_21D,psy_safe,
2_21E,expgroup,Control
2_21E,repmark,56.77
2_21E,presmark,23.33333333
2_21E,teammark,72.32555555333333
2_21E,airtime_evenness,-6.805761286617113
2_21E,psy_safe,4.476190476190475
2_22A,expgroup,Reflection
2_22A,repmark,52.13
2_22A,presmark,20.0
2_22A,teammark,65.46333333333335
2_22A,airtime_evenness,-10.198825270006646
2_22A,psy_safe,4.4714285714285715
2_22B,expgroup,Reflection
2_22B,repmark,40.66
2_22B,presmark,15.5
2_22B,teammark,50.99333333333333
2_22B,airtime_evenness,-13.119616597205056
2_22B,psy_safe,3.885714285714286
2_22C,expgroup,Reflection
2_22C,repmark,56.4
2_22C,presmark,19.5
2_22C,teammark,69.39999999999999
2_22C,airtime_evenness,-5.894872144388854
2_22C,psy_safe,4.242857142857142
2_22E,expgroup,Reflection
2_22E,repmark,40.61000000000001
2_22E,presmark,20.333300000000005
2_22E,teammark,54.16553333333332
2_22E,airtime_evenness,-14.222827171782113
2_22E,psy_safe,4.446666666666667
2_22F,expgroup,Reflection
2_22F,repmark,64.89999999999999
2_22F,presmark,18.5
2_22F,teammark,77.23333333333333
2_22F,airtime_evenness,-10.485884290520211
2_22F,psy_safe,4.304761904761905
2_23A,expgroup,Feedback
2_23A,repmark,50.35
2_23A,presmark,20.66666667
2_23A,teammark,64.12777777999999
2_23A,airtime_evenness,-11.138756705726987
2_23A,psy_safe,4.142857142857143
2_23B,expgroup,Feedback
2_23B,repmark,32.26
2_23B,presmark,17.66666667
2_23B,teammark,44.03777778
2_23B,airtime_evenness,-10.46153336098038
2_23B,psy_safe,4.435714285714285
2_23C,expgroup,Feedback
2_23C,repmark,47.38
2_23C,presmark,19.33333333
2_23C,teammark,60.26888888666666
2_23C,airtime_evenness,-12.696065230220333
2_23C,psy_safe,4.26
2_23D,expgroup,Feedback
2_23D,repmark,46.03
2_23D,presmark,24.33333333
2_23D,teammark,62.25222222
2_23D,airtime_evenness,-12.417493551420327
2_23D,psy_safe,4.217142857142857
2_23E,expgroup,Feedback
2_23E,repmark,56.15999999999999
2_23E,presmark,21.33333333
2_23E,teammark,70.38222222
2_23E,airtime_evenness,-5.673945758648154
2_23E,psy_safe,4.547619047619048
2_23F,expgroup,Feedback
